smiles,fgs,fgsmi,fgmol
C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,"[{10}, {13}, {18}, {20, 21, 22}]","['[R]N[R]', 'O[Cal]', 'O[Car]', 'O=C([R])N([R])[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c14d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c19a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1700>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0740>]"
CCOc1ccc(Nc2ccc(/C(=C3/C=C/C(=[N+](/CC)Cc4cccc(S(=O)(=O)[O-])c4)C=C3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)O)c4)cc3C)cc2)cc1,"[{2}, {7}, {32, 12, 13, 14, 15, 16, 17, 31}, {26, 27, 28, 29}, {38}, {48, 49, 50, 47}]","['[R]O[R]', '[R]N[R]', 'C=C1C=CC(=[N+]([R])[R])C=C1', 'O=S(=O)([O-])[R]', '[R]N([R])[R]', 'O=S(=O)(O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1310>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1af0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1a80>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c17e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1b60>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c18c0>]"
CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,"[{1, 2}, {9}, {13}, {19}, {28}]","['O=C([R])[R]', '[R]N([R])[R]', '[R]N([R])[R]', 'O[Cal]', '[R]S[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1460>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1850>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1f50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1d20>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c20a0>]"
CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(OC2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)CC(O)CC(O)CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(O)CC(=O)c1ccc(N)cc1,"[{2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}, {17, 18, 19}, {23}, {25}, {27}, {30}, {32, 33, 34}, {36}, {38, 39}, {42}, {45}, {48}, {50, 51}, {56, 55}, {58, 59, 60}, {68}, {70, 71}, {76}]","['C=CC=CC=CC=CC=CC=CC=C', '[R]OCO[R]', 'O[Cal]', 'N[Cal]', 'O[Cal]', 'O[Cal]', 'O=C(O)[R]', 'O[Cal]', 'O=C([R])[R]', 'O[Cal]', 'O[Cal]', 'O[Cal]', 'O=C([R])[R]', 'O=C([R])[R]', 'O=C([R])O[R]', 'O[Cal]', 'O=C([R])[R]', 'N[Car]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1fc0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2810>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2a40>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c28f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2960>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c29d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1c40>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2b20>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2c70>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2ce0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2d50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2c00>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2dc0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2ea0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2f80>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2e30>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2b90>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2f10>]"
CNC(=O)Oc1cccc2ccccc12,"[{1, 2, 3, 4}]",['O=C(O[R])N([R])[R]'],[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2730>]
CC(NN)c1ccccc1,"[{2, 3}]",['[R]N([R])N([R])[R]'],[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2570>]
Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,"[{0}, {19}, {12}, {21}, {7}, {10}, {17}]","['Cl[R]', 'Cl[R]', '[R]O[R]', 'Cl[R]', '[Nar]', '[Nar]', '[Sar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c0c10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c3060>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1a10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1ee0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1620>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2420>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1690>]"
CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,"[{8, 9, 6, 7}, {14}, {19}, {2}, {17}]","['O=S(=O)([R])N([R])[R]', 'N[Car]', 'O=[Car]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c10e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2340>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1e00>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1d90>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2490>]"
COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3,"[{1}, {33}, {36}, {8}, {43}, {15}, {19}, {30}]","['[R]O[R]', '[R]O[R]', '[R]O[R]', '[R]O[R]', '[R][N+]([R])([R])[R]', '[R]O[R]', '[R][N+]([R])([R])[R]', '[R]O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c1bd0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2ab0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2500>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c3300>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2650>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c33e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c3370>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c34c0>]"
CC(N)Cc1ccc(O)cc1,"[{8}, {2}]","['O[Car]', 'N[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0c2180>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0c21f0>]"
